id, nombre, casilla, color
16,peon,A8,negro
27,torre,B8,negro
26,reina,C8,negro
25,rey,D8,negro
24,alfil,E8,negro
28,torre,F8,negro
22,peon,G8,negro
17,peon,B7,negro
30,caballo,C7,negro
23,alfil,D7,negro
31,caballo,E7,negro
21,peon,F7,negro
18,peon,C6,negro
29,torre,D6,negro
20,peon,E6,negro
19,peon,D5,negro
3,peon,D4,blanco
2,peon,C3,blanco
11,torre,D3,blanco
4,peon,E3,blanco
1,peon,B2,blanco
9,caballo,C2,blanco
15,alfil,D2,blanco
10,caballo,E2,blanco
5,peon,F2,blanco
0,peon,A1,blanco
12,torre,B1,blanco
8,reina,C1,blanco
7,rey,D1,blanco
14,alfil,E1,blanco
13,torre,F1,blanco
6,peon,G1,blanco
