id, nombre, casilla, color
23,torre,A8,negro
31,caballo,B8,negro
30,alfil,C8,negro
38,reina,D8,negro
35,rey,E8,negro
29,alfil,F8,negro
32,caballo,G8,negro
24,torre,H8,negro
15,peon,A7,negro
16,peon,B7,negro
17,peon,C7,negro
18,peon,D7,negro
19,peon,E7,negro
20,peon,F7,negro
21,peon,G7,negro
22,peon,H7,negro
7,peon,A2,blanco
8,peon,B2,blanco
9,peon,C2,blanco
10,peon,D2,blanco
11,peon,E2,blanco
12,peon,F2,blanco
13,peon,G2,blanco
14,peon,H2,blanco
26,torre,A1,blanco
34,caballo,B1,blanco
27,alfil,C1,blanco
37,reina,D1,blanco
36,rey,E1,blanco
28,alfil,F1,blanco
33,caballo,G1,blanco
25,torre,H1,blanco
